Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
1,0,14.0,0.001,0.001,0.99,0.0007,69.41207885742188,6.546988010406494
2,0,17.0,0.001,0.001,0.99,0.0003,100.40108489990234,9.294637680053711
3,0,11.0,0.001,0.001,0.99,0.0003,44.343421936035156,4.278158187866211
1,1,21.0,0.001,0.001,0.99,0.0007,139.76730346679688,12.925326347351074
3,1,19.0,0.001,0.001,0.99,0.0003,122.44886779785156,10.98441219329834
2,1,37.0,0.001,0.001,0.99,0.0003,412.2612609863281,35.42036056518555
3,2,38.0,0.001,0.001,0.99,0.0003,441.3273620605469,36.421993255615234
2,2,28.0,0.001,0.001,0.99,0.0003,239.2210693359375,20.878604888916016
3,3,18.0,0.001,0.001,0.99,0.0003,97.01150512695312,8.913908958435059
1,2,70.0,0.001,0.001,0.99,0.0007,1295.9752197265625,98.82242584228516
2,3,19.0,0.001,0.001,0.99,0.0003,102.92537689208984,9.36445426940918
3,4,21.0,0.001,0.001,0.99,0.0003,122.78512573242188,10.961996078491211
1,3,26.0,0.001,0.001,0.99,0.0007,189.3269805908203,16.851511001586914
3,5,21.0,0.001,0.001,0.99,0.0003,116.12686157226562,10.117826461791992
2,4,25.0,0.001,0.001,0.99,0.0003,192.48695373535156,15.14603328704834
2,5,18.0,0.001,0.001,0.99,0.0003,78.87489318847656,7.332769870758057
3,6,23.0,0.001,0.001,0.99,0.0003,127.71395111083984,10.72017765045166
3,7,16.0,0.001,0.001,0.99,0.0003,31.81540298461914,5.33861780166626
2,6,19.0,0.001,0.001,0.99,0.0003,80.6955795288086,7.572479248046875
1,4,59.0,0.001,0.001,0.99,0.0007,850.9937744140625,70.53423309326172
3,8,25.0,0.001,0.001,0.99,0.0003,126.43408203125,12.731383323669434
2,7,28.0,0.001,0.001,0.99,0.0003,176.302001953125,14.89598560333252
3,9,22.0,0.001,0.001,0.99,0.0003,87.89147186279297,8.884608268737793
2,8,44.0,0.001,0.001,0.99,0.0003,418.9388427734375,34.44890594482422
1,5,52.0,0.001,0.001,0.99,0.0007,683.1235961914062,54.878597259521484
3,10,53.0,0.001,0.001,0.99,0.0003,595.7764892578125,50.545814514160156
2,9,30.0,0.001,0.001,0.99,0.0003,204.86659240722656,14.205632209777832
3,11,33.0,0.001,0.001,0.99,0.0003,211.25828552246094,17.678056716918945
1,6,60.0,0.001,0.001,0.99,0.0007,830.671875,65.87743377685547
2,10,47.0,0.001,0.001,0.99,0.0003,396.3189392089844,32.974853515625
1,7,35.0,0.001,0.001,0.99,0.0007,255.8501739501953,22.592161178588867
3,12,97.0,0.001,0.001,0.99,0.0003,1896.3702392578125,123.56957244873047
1,8,24.0,0.001,0.001,0.99,0.0007,103.73178100585938,8.45156478881836
2,11,74.0,0.001,0.001,0.99,0.0003,984.6940307617188,70.47577667236328
3,13,26.0,0.001,0.001,0.99,0.0003,59.373443603515625,9.180727005004883
1,9,20.0,0.001,0.001,0.99,0.0007,45.523014068603516,4.494707107543945
3,14,16.0,0.001,0.001,0.99,0.0003,22.249940872192383,2.0489792823791504
1,10,25.0,0.001,0.001,0.99,0.0007,100.06439208984375,8.046846389770508
3,15,52.0,0.001,0.001,0.99,0.0003,481.3561096191406,37.57517623901367
3,16,26.0,0.001,0.001,0.99,0.0003,72.10513305664062,6.707028388977051
1,11,70.0,0.001,0.001,0.99,0.0007,995.18603515625,72.67284393310547
2,12,103.0,0.001,0.001,0.99,0.0003,1719.6636962890625,116.53302001953125
3,17,26.0,0.001,0.001,0.99,0.0003,67.08789825439453,5.365930557250977
1,12,39.0,0.001,0.001,0.99,0.0007,242.96881103515625,18.655941009521484
3,18,30.0,0.001,0.001,0.99,0.0003,104.3285140991211,8.90043830871582
2,13,64.0,0.001,0.001,0.99,0.0003,511.6868591308594,41.65658187866211
1,13,32.0,0.001,0.001,0.99,0.0007,136.04071044921875,10.984636306762695
1,14,22.0,0.001,0.001,0.99,0.0007,14.62856388092041,4.191859722137451
3,19,42.0,0.001,0.001,0.99,0.0003,240.74295043945312,18.003257751464844
3,20,18.0,0.001,0.001,0.99,0.0003,-34.059410095214844,5.080596923828125
1,15,43.0,0.001,0.001,0.99,0.0007,230.9788818359375,23.51960563659668
2,14,89.0,0.001,0.001,0.99,0.0003,998.0033569335938,75.04659271240234
3,21,42.0,0.001,0.001,0.99,0.0003,190.05374145507812,17.752857208251953
3,22,35.0,0.001,0.001,0.99,0.0003,94.59281158447266,10.287023544311523
1,16,73.0,0.001,0.001,0.99,0.0007,816.6975708007812,63.7019157409668
2,15,108.0,0.001,0.001,0.99,0.0003,1475.7252197265625,94.28620910644531
1,17,24.0,0.001,0.001,0.99,0.0007,17.21918296813965,3.9506001472473145
3,23,77.0,0.001,0.001,0.99,0.0003,919.170166015625,61.03580856323242
1,18,65.0,0.001,0.001,0.99,0.0007,521.0452270507812,43.80782699584961
2,16,56.0,0.001,0.001,0.99,0.0003,222.3158721923828,20.70835304260254
1,19,45.0,0.001,0.001,0.99,0.0007,216.45143127441406,15.591876029968262
3,24,48.0,0.001,0.001,0.99,0.0003,209.0081787109375,17.936397552490234
1,20,40.0,0.001,0.001,0.99,0.0007,89.26879119873047,12.112500190734863
3,25,37.0,0.001,0.001,0.99,0.0003,62.63943862915039,8.204081535339355
1,21,67.0,0.001,0.001,0.99,0.0007,455.2710266113281,36.44560623168945
3,26,73.0,0.001,0.001,0.99,0.0003,633.0684814453125,43.677146911621094
3,27,33.0,0.001,0.001,0.99,0.0003,-8.919694900512695,5.804816246032715
1,22,44.0,0.001,0.001,0.99,0.0007,111.25701141357422,10.702824592590332
2,17,200.0,0.001,0.001,0.99,0.0003,4403.10205078125,210.163330078125
3,28,53.0,0.001,0.001,0.99,0.0003,55.15589141845703,23.882083892822266
3,29,30.0,0.001,0.001,0.99,0.0003,-61.640869140625,7.253526210784912
3,30,38.0,0.001,0.001,0.99,0.0003,13.837030410766602,7.843621730804443
1,23,199.0,0.001,0.001,0.99,0.0007,3912.02392578125,215.5487060546875
2,18,200.0,0.001,0.001,0.99,0.0003,3945.4228515625,189.4022674560547
3,31,130.0,0.001,0.001,0.99,0.0003,2046.3072509765625,122.22457122802734
1,24,163.0,0.001,0.001,0.99,0.0007,2931.345703125,157.7878875732422
3,32,126.0,0.001,0.001,0.99,0.0003,1559.8326416015625,97.49396514892578
2,19,200.0,0.001,0.001,0.99,0.0003,3276.02490234375,160.46212768554688
3,33,72.0,0.001,0.001,0.99,0.0003,254.2315216064453,25.45586585998535
2,20,127.0,0.001,0.001,0.99,0.0003,878.38720703125,70.40129089355469
1,25,200.0,0.001,0.001,0.99,0.0007,3104.183349609375,160.23912048339844
3,34,85.0,0.001,0.001,0.99,0.0003,480.15423583984375,38.01082992553711
1,26,55.0,0.001,0.001,0.99,0.0007,-71.13794708251953,13.704455375671387
1,27,96.0,0.001,0.001,0.99,0.0007,573.6058959960938,40.28266906738281
3,35,118.0,0.001,0.001,0.99,0.0003,1191.29931640625,65.69548034667969
2,21,200.0,0.001,0.001,0.99,0.0003,2837.944580078125,146.54273986816406
3,36,63.0,0.001,0.001,0.99,0.0003,-62.906410217285156,17.639116287231445
1,28,200.0,0.001,0.001,0.99,0.0007,3650.0751953125,159.6443634033203
2,22,200.0,0.001,0.001,0.99,0.0003,2336.6083984375,112.63826751708984
3,37,190.0,0.001,0.001,0.99,0.0003,3201.02490234375,146.8516082763672
3,38,24.0,0.001,0.001,0.99,0.0003,-290.8973083496094,36.985595703125
1,29,82.0,0.001,0.001,0.99,0.0007,146.781005859375,23.05396842956543
2,23,200.0,0.001,0.001,0.99,0.0003,2061.63037109375,112.91455078125
3,39,200.0,0.001,0.001,0.99,0.0003,3469.78369140625,163.45077514648438
1,30,200.0,0.001,0.001,0.99,0.0007,3366.308837890625,138.55636596679688
2,24,175.0,0.001,0.001,0.99,0.0003,805.3285522460938,111.17723846435547
3,40,134.0,0.001,0.001,0.99,0.0003,1354.1474609375,67.38420867919922
1,31,128.0,0.001,0.001,0.99,0.0007,860.6600952148438,53.46954345703125
2,25,165.0,0.001,0.001,0.99,0.0003,595.2297973632812,88.84273529052734
3,41,165.0,0.001,0.001,0.99,0.0003,1944.90087890625,92.1434097290039
1,32,200.0,0.001,0.001,0.99,0.0007,2611.793701171875,108.14163970947266
1,33,22.0,0.001,0.001,0.99,0.0007,-511.1427307128906,88.90502166748047
3,42,137.0,0.001,0.001,0.99,0.0003,1025.294921875,61.45872116088867
2,26,200.0,0.001,0.001,0.99,0.0003,1508.19970703125,102.35564422607422
1,34,200.0,0.001,0.001,0.99,0.0007,2679.06640625,114.6098861694336
2,27,200.0,0.001,0.001,0.99,0.0003,1025.731689453125,101.27826690673828
3,43,195.0,0.001,0.001,0.99,0.0003,2593.2392578125,108.9458999633789
3,44,92.0,0.001,0.001,0.99,0.0003,-136.8212432861328,31.4307804107666
1,35,200.0,0.001,0.001,0.99,0.0007,2332.75732421875,103.5856704711914
3,45,58.0,0.001,0.001,0.99,0.0003,-380.92327880859375,25.989490509033203
2,28,200.0,0.001,0.001,0.99,0.0003,796.3468017578125,95.1433334350586
1,36,135.0,0.001,0.001,0.99,0.0007,418.8961486816406,61.81385040283203
2,29,98.0,0.001,0.001,0.99,0.0003,-1015.121826171875,156.24827575683594
3,46,198.0,0.001,0.001,0.99,0.0003,2479.78857421875,120.75579833984375
1,37,200.0,0.001,0.001,0.99,0.0007,1666.61474609375,89.4925765991211
2,30,200.0,0.001,0.001,0.99,0.0003,1242.5565185546875,89.52352905273438
3,47,200.0,0.001,0.001,0.99,0.0003,2707.99658203125,103.02620697021484
1,38,200.0,0.001,0.001,0.99,0.0007,1898.682861328125,91.4162826538086
3,48,151.0,0.001,0.001,0.99,0.0003,636.7704467773438,53.13279342651367
2,31,200.0,0.001,0.001,0.99,0.0003,948.344970703125,80.43080139160156
1,39,32.0,0.001,0.001,0.99,0.0007,-575.7001953125,109.3614501953125
2,32,115.0,0.001,0.001,0.99,0.0003,-706.2941284179688,99.86101531982422
2,33,24.0,0.001,0.001,0.99,0.0003,-462.0045471191406,98.2408676147461
1,40,131.0,0.001,0.001,0.99,0.0007,384.1363830566406,51.70090866088867
3,49,200.0,0.001,0.001,0.99,0.0003,2256.7294921875,87.25591278076172
