Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
1,0,18.0,0.001,0.0007,0.7413,0.001,2.197793960571289,1.0835589170455933
3,0,25.0,0.0007,0.0009,0.9528,0.0004,6.788961410522461,10.339682579040527
2,0,30.0,0.0009,0.0007,0.8556,0.001,3.897845506668091,3.358588457107544
3,1,11.0,0.0007,0.0009,0.9528,0.0004,3.590423583984375,2.988189220428467
2,1,13.0,0.0009,0.0007,0.8556,0.001,2.7831356525421143,2.113344669342041
2,2,12.0,0.0009,0.0007,0.8556,0.001,2.770519733428955,1.9290361404418945
3,2,16.0,0.0007,0.0009,0.9528,0.0004,4.819199085235596,5.705564022064209
1,1,49.0,0.001,0.0007,0.7413,0.001,2.5997836589813232,1.4512689113616943
2,3,17.0,0.0009,0.0007,0.8556,0.001,3.207362174987793,2.456284761428833
3,3,16.0,0.0007,0.0009,0.9528,0.0004,4.33090877532959,5.638749122619629
1,2,22.0,0.001,0.0007,0.7413,0.001,2.3514244556427,1.2251332998275757
3,4,14.0,0.0007,0.0009,0.9528,0.0004,4.1990180015563965,4.358788967132568
2,4,13.0,0.0009,0.0007,0.8556,0.001,2.5001440048217773,1.999508261680603
1,3,18.0,0.001,0.0007,0.7413,0.001,2.186079502105713,1.0701667070388794
2,5,13.0,0.0009,0.0007,0.8556,0.001,2.9687163829803467,1.9421974420547485
3,5,18.0,0.0007,0.0009,0.9528,0.0004,4.9352641105651855,6.541268825531006
1,4,13.0,0.001,0.0007,0.7413,0.001,2.1313912868499756,1.0202704668045044
2,6,16.0,0.0009,0.0007,0.8556,0.001,3.2090022563934326,2.2923648357391357
3,6,13.0,0.0007,0.0009,0.9528,0.0004,3.6456823348999023,4.126245021820068
2,7,24.0,0.0009,0.0007,0.8556,0.001,3.5587687492370605,2.9771108627319336
3,7,27.0,0.0007,0.0009,0.9528,0.0004,6.900225639343262,10.974541664123535
1,5,54.0,0.001,0.0007,0.7413,0.001,2.52583384513855,1.3896546363830566
3,8,10.0,0.0007,0.0009,0.9528,0.0004,2.824709177017212,2.718562364578247
2,8,34.0,0.0009,0.0007,0.8556,0.001,3.4611165523529053,3.424551010131836
1,6,16.0,0.001,0.0007,0.7413,0.001,2.0910871028900146,1.0000494718551636
3,9,20.0,0.0007,0.0009,0.9528,0.0004,5.420905113220215,7.207396030426025
2,9,35.0,0.0009,0.0007,0.8556,0.001,3.4686458110809326,3.427363634109497
3,10,44.0,0.0007,0.0009,0.9528,0.0004,8.948315620422363,17.848024368286133
1,7,42.0,0.001,0.0007,0.7413,0.001,2.395725727081299,1.2819384336471558
2,10,24.0,0.0009,0.0007,0.8556,0.001,3.6245155334472656,2.910334587097168
3,11,13.0,0.0007,0.0009,0.9528,0.0004,3.7629945278167725,3.7660560607910156
1,8,13.0,0.001,0.0007,0.7413,0.001,2.121631622314453,0.8982475399971008
2,11,30.0,0.0009,0.0007,0.8556,0.001,3.8702175617218018,3.220893144607544
1,9,20.0,0.001,0.0007,0.7413,0.001,2.3300158977508545,1.146304965019226
3,12,32.0,0.0007,0.0009,0.9528,0.0004,7.309549331665039,12.962498664855957
2,12,15.0,0.0009,0.0007,0.8556,0.001,2.643792152404785,2.132798194885254
3,13,15.0,0.0007,0.0009,0.9528,0.0004,4.22769832611084,4.6906962394714355
1,10,17.0,0.001,0.0007,0.7413,0.001,2.214369535446167,1.0673083066940308
2,13,10.0,0.0009,0.0007,0.8556,0.001,2.4907312393188477,1.4324228763580322
3,14,25.0,0.0007,0.0009,0.9528,0.0004,6.320637226104736,9.735223770141602
1,11,37.0,0.001,0.0007,0.7413,0.001,2.385920524597168,1.228559136390686
2,14,30.0,0.0009,0.0007,0.8556,0.001,3.628720760345459,3.185051918029785
3,15,17.0,0.0007,0.0009,0.9528,0.0004,4.575884819030762,5.748709201812744
1,12,16.0,0.001,0.0007,0.7413,0.001,2.091294288635254,0.9465341567993164
2,15,21.0,0.0009,0.0007,0.8556,0.001,3.523874282836914,2.6447594165802
1,13,12.0,0.001,0.0007,0.7413,0.001,1.877596139907837,0.8093428015708923
3,16,29.0,0.0007,0.0009,0.9528,0.0004,6.9496941566467285,11.668340682983398
1,14,14.0,0.001,0.0007,0.7413,0.001,1.939452052116394,0.8613810539245605
1,15,16.0,0.001,0.0007,0.7413,0.001,1.9961891174316406,0.9279202818870544
3,17,18.0,0.0007,0.0009,0.9528,0.0004,4.779971122741699,6.285423278808594
2,16,42.0,0.0009,0.0007,0.8556,0.001,3.921302080154419,3.5289132595062256
