Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
3,0,19.0,0.0007,0.0007,0.7818,0.001,49.61621856689453,1.497292160987854
1,0,21.0,0.0008,0.0007,0.7845,0.0005,57.08775329589844,1.6336716413497925
2,0,36.0,0.0007,0.0007,0.722,0.0001,86.64462280273438,1.2012872695922852
2,1,15.0,0.0007,0.0007,0.722,0.0001,29.594844818115234,0.9539080858230591
1,1,18.0,0.0008,0.0007,0.7845,0.0005,46.39299011230469,1.5055879354476929
3,1,40.0,0.0007,0.0007,0.7818,0.001,112.97197723388672,1.7652605772018433
1,2,26.0,0.0008,0.0007,0.7845,0.0005,70.13001251220703,1.6279575824737549
2,2,31.0,0.0007,0.0007,0.722,0.0001,73.07378387451172,1.1629446744918823
3,2,28.0,0.0007,0.0007,0.7818,0.001,74.72889709472656,1.6234251260757446
1,3,14.0,0.0008,0.0007,0.7845,0.0005,32.174537658691406,1.2339643239974976
2,3,22.0,0.0007,0.0007,0.722,0.0001,49.62303924560547,1.064681887626648
3,3,16.0,0.0007,0.0007,0.7818,0.001,38.99491882324219,1.3376284837722778
1,4,35.0,0.0008,0.0007,0.7845,0.0005,96.77976989746094,1.7315647602081299
3,4,27.0,0.0007,0.0007,0.7818,0.001,70.5705795288086,1.604685664176941
2,4,40.0,0.0007,0.0007,0.722,0.0001,93.32930755615234,1.1637001037597656
1,5,22.0,0.0008,0.0007,0.7845,0.0005,56.060089111328125,1.5112316608428955
3,5,35.0,0.0007,0.0007,0.7818,0.001,96.17805480957031,1.6897209882736206
2,5,35.0,0.0007,0.0007,0.722,0.0001,80.33109283447266,1.127277135848999
1,6,43.0,0.0008,0.0007,0.7845,0.0005,120.66417694091797,1.7797701358795166
2,6,11.0,0.0007,0.0007,0.722,0.0001,19.968643188476562,0.7970634698867798
3,6,41.0,0.0007,0.0007,0.7818,0.001,112.62748718261719,1.7253042459487915
2,7,19.0,0.0007,0.0007,0.722,0.0001,40.12876892089844,0.9992040991783142
3,7,14.0,0.0007,0.0007,0.7818,0.001,32.13552474975586,1.1749976873397827
2,8,12.0,0.0007,0.0007,0.722,0.0001,21.65106773376465,0.8264827132225037
1,7,46.0,0.0008,0.0007,0.7845,0.0005,130.63449096679688,1.8284906148910522
3,8,19.0,0.0007,0.0007,0.7818,0.001,46.10337829589844,1.380582332611084
2,9,17.0,0.0007,0.0007,0.722,0.0001,36.64270782470703,0.9802508354187012
2,10,19.0,0.0007,0.0007,0.722,0.0001,39.0423469543457,0.9692034721374512
3,9,15.0,0.0007,0.0007,0.7818,0.001,34.19087219238281,1.2171486616134644
2,11,18.0,0.0007,0.0007,0.722,0.0001,36.8859748840332,0.9486408233642578
2,12,9.0,0.0007,0.0007,0.722,0.0001,14.509929656982422,0.6816951632499695
1,8,64.0,0.0008,0.0007,0.7845,0.0005,185.86680603027344,1.8750759363174438
3,10,29.0,0.0007,0.0007,0.7818,0.001,75.39554595947266,1.588132381439209
2,13,15.0,0.0007,0.0007,0.722,0.0001,29.137659072875977,0.8696867227554321
1,9,14.0,0.0008,0.0007,0.7845,0.0005,31.722978591918945,1.1872175931930542
2,14,11.0,0.0007,0.0007,0.722,0.0001,19.19130516052246,0.7477960586547852
3,11,39.0,0.0007,0.0007,0.7818,0.001,108.13143920898438,1.6773780584335327
2,15,18.0,0.0007,0.0007,0.722,0.0001,38.51629638671875,0.9676939845085144
1,10,22.0,0.0008,0.0007,0.7845,0.0005,56.22227478027344,1.5235940217971802
3,12,14.0,0.0007,0.0007,0.7818,0.001,32.62965393066406,1.1933668851852417
2,16,15.0,0.0007,0.0007,0.722,0.0001,27.691225051879883,0.8443207740783691
1,11,43.0,0.0008,0.0007,0.7845,0.0005,119.25477600097656,1.7459427118301392
3,13,39.0,0.0007,0.0007,0.7818,0.001,102.68933868408203,1.619877815246582
2,17,41.0,0.0007,0.0007,0.722,0.0001,92.148681640625,1.0941755771636963
2,18,15.0,0.0007,0.0007,0.722,0.0001,30.614213943481445,0.8910075426101685
1,12,47.0,0.0008,0.0007,0.7845,0.0005,130.47705078125,1.768720030784607
2,19,13.0,0.0007,0.0007,0.722,0.0001,23.800878524780273,0.7708878517150879
3,14,42.0,0.0007,0.0007,0.7818,0.001,117.57292938232422,1.6484981775283813
2,20,16.0,0.0007,0.0007,0.722,0.0001,31.73174285888672,0.8865148425102234
1,13,34.0,0.0008,0.0007,0.7845,0.0005,90.93921661376953,1.692530870437622
2,21,20.0,0.0007,0.0007,0.722,0.0001,41.79882049560547,0.9238321185112
1,14,13.0,0.0008,0.0007,0.7845,0.0005,30.71516990661621,1.1445733308792114
2,22,16.0,0.0007,0.0007,0.722,0.0001,31.11253547668457,0.8396679162979126
3,15,36.0,0.0007,0.0007,0.7818,0.001,96.46798706054688,1.622902512550354
