Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
1,1,19.0,0.0005000000237487257,0.0003000000142492354,0.93,91
2,1,20.0,0.0003000000142492354,0.0008999999845400453,0.75,49
3,1,20.0,0.00019999999494757503,9.999999747378752e-05,0.73,153
4,1,19.0,0.0005000000237487257,0.000699999975040555,0.93,60
5,1,28.0,0.000699999975040555,0.0,0.5,75
6,1,39.0,0.0006000000284984708,0.0005000000237487257,0.84,117
7,1,15.0,0.000699999975040555,0.0,0.62,37
8,1,26.0,0.00039999998989515007,9.999999747378752e-05,0.72,102
9,1,12.0,0.00039999998989515007,0.0010000000474974513,0.66,83
10,1,28.0,0.0,0.0,0.97,169
11,1,17.0,0.0008999999845400453,0.00039999998989515007,0.94,200
12,1,17.0,0.00019999999494757503,0.00019999999494757503,0.94,52
13,1,15.0,0.00039999998989515007,0.0007999999797903001,0.52,82
14,1,15.0,0.0007999999797903001,0.0006000000284984708,0.89,148
15,1,14.0,0.00039999998989515007,0.0005000000237487257,0.51,152
16,1,29.0,0.00039999998989515007,0.00039999998989515007,0.87,136
1,2,10.0,0.0005000000237487257,0.0003000000142492354,0.93,91
2,2,12.0,0.0003000000142492354,0.0008999999845400453,0.75,49
3,2,34.0,0.00019999999494757503,9.999999747378752e-05,0.73,153
4,2,39.0,0.0005000000237487257,0.000699999975040555,0.93,60
5,2,11.0,0.000699999975040555,0.0,0.5,75
6,2,46.0,0.0006000000284984708,0.0005000000237487257,0.84,117
7,2,42.0,0.000699999975040555,0.0,0.62,37
8,2,22.0,0.00039999998989515007,9.999999747378752e-05,0.72,102
9,2,25.0,0.00039999998989515007,0.0010000000474974513,0.66,83
10,2,14.0,0.0,0.0,0.97,169
11,2,12.0,0.0008999999845400453,0.00039999998989515007,0.94,200
12,2,13.0,0.00019999999494757503,0.00019999999494757503,0.94,52
13,2,35.0,0.00039999998989515007,0.0007999999797903001,0.52,82
14,2,32.0,0.0007999999797903001,0.0006000000284984708,0.89,148
15,2,55.0,0.00039999998989515007,0.0005000000237487257,0.51,152
16,2,41.0,0.00039999998989515007,0.00039999998989515007,0.87,136
1,3,23.0,0.0005000000237487257,0.0003000000142492354,0.93,91
2,3,25.0,0.0003000000142492354,0.0008999999845400453,0.75,49
3,3,38.0,0.00019999999494757503,9.999999747378752e-05,0.73,153
4,3,20.0,0.0005000000237487257,0.000699999975040555,0.93,60
5,3,14.0,0.000699999975040555,0.0,0.5,75
6,3,11.0,0.0006000000284984708,0.0005000000237487257,0.84,117
7,3,12.0,0.000699999975040555,0.0,0.62,37
8,3,17.0,0.00039999998989515007,9.999999747378752e-05,0.72,102
9,3,17.0,0.00039999998989515007,0.0010000000474974513,0.66,83
10,3,35.0,0.0,0.0,0.97,169
11,3,11.0,0.0008999999845400453,0.00039999998989515007,0.94,200
12,3,23.0,0.00019999999494757503,0.00019999999494757503,0.94,52
13,3,11.0,0.00039999998989515007,0.0007999999797903001,0.52,82
14,3,13.0,0.0007999999797903001,0.0006000000284984708,0.89,148
