Coordinator ID,Episode Number,Agent ID,Agent Reward,Episode Reward, Actor Learning Rate, Critic Learning Rate, Entropy
0,1,0,-5.999999999999989,-6.999999999999965,0.0041,0.0012,0.001
0,1,1,-0.9999999999999973,-6.999999999999965,0.0041,0.0012,0.001
1,1,0,-0.9999999999999999,3.0000000000000115,0.006,0.0073,0.001
1,1,1,4.000000000000007,3.0000000000000115,0.006,0.0073,0.001
2,1,0,4.00000000000001,8.00000000000004,0.0045,0.0032,0.001
2,1,1,4.000000000000015,8.00000000000004,0.0045,0.0032,0.001
3,1,0,-0.9999999999999944,-1.9999999999999643,0.0082,0.008,0.001
3,1,1,-0.9999999999999902,-1.9999999999999643,0.0082,0.008,0.001
4,1,0,-5.99999999999999,-6.999999999999957,0.0003,0.0034,0.001
4,1,1,-1.0000000000000115,-6.999999999999957,0.0003,0.0034,0.001
5,1,0,-5.999999999999997,-6.999999999999959,0.0078,0.0097,0.001
5,1,1,-0.9999999999999805,-6.999999999999959,0.0078,0.0097,0.001
6,1,0,-0.9999999999999973,-6.999999999999968,0.0039,0.0019,0.001
6,1,1,-5.999999999999993,-6.999999999999968,0.0039,0.0019,0.001
7,1,0,-0.9999999999999964,3.000000000000025,0.0073,0.0012,0.001
7,1,1,4.000000000000016,3.000000000000025,0.0073,0.0012,0.001
8,1,0,-5.999999999999998,-6.999999999999986,0.0013,0.0078,0.001
8,1,1,-0.9999999999999902,-6.999999999999986,0.0013,0.0078,0.001
9,1,0,-5.999999999999995,-6.999999999999966,0.0044,0.0003,0.001
9,1,1,-0.9999999999999867,-6.999999999999966,0.0044,0.0003,0.001
10,1,0,-5.9999999999999964,-6.999999999999961,0.0086,0.0091,0.001
10,1,1,-0.9999999999999878,-6.999999999999961,0.0086,0.0091,0.001
11,1,0,-5.999999999999997,-17.00000000000007,0.0005,0.0042,0.001
11,1,1,-10.999999999999986,-17.00000000000007,0.0005,0.0042,0.001
12,1,0,-0.9999999999999938,3.0000000000000338,0.0073,0.0039,0.001
12,1,1,4.000000000000013,3.0000000000000338,0.0073,0.0039,0.001
13,1,0,-5.999999999999982,-6.999999999999978,0.0047,0.0028,0.001
13,1,1,-0.9999999999999929,-6.999999999999978,0.0047,0.0028,0.001
14,1,0,4.000000000000005,13.000000000000028,0.008,0.0007,0.001
14,1,1,9.000000000000005,13.000000000000028,0.008,0.0007,0.001
15,1,0,4.000000000000013,3.000000000000025,0.0026,0.0027,0.001
15,1,1,-0.9999999999999999,3.000000000000025,0.0026,0.0027,0.001
0,2,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,2,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,2,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,2,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
2,2,0,-0.9999999999999999,-2.0000000000000013,0.0045,0.0032,0.001
2,2,1,-0.9999999999999999,-2.0000000000000013,0.0045,0.0032,0.001
3,2,0,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
3,2,1,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
4,2,0,4.350000000000003,8.700000000000022,0.0003,0.0034,0.001
4,2,1,4.350000000000009,8.700000000000022,0.0003,0.0034,0.001
5,2,0,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
5,2,1,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
6,2,0,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
6,2,1,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
7,2,0,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
7,2,1,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
8,2,0,-0.9999999999999847,-1.9999999999999827,0.0013,0.0078,0.001
8,2,1,-0.9999999999999831,-1.9999999999999827,0.0013,0.0078,0.001
9,2,0,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
9,2,1,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
10,2,0,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
10,2,1,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
11,2,0,-5.999999999999985,-11.999999999999957,0.0005,0.0042,0.001
11,2,1,-5.9999999999999964,-11.999999999999957,0.0005,0.0042,0.001
12,2,0,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
12,2,1,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
13,2,0,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
13,2,1,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
14,2,0,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
14,2,1,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
15,2,0,-0.9999999999999893,-1.9999999999999927,0.0026,0.0027,0.001
15,2,1,-0.9999999999999847,-1.9999999999999927,0.0026,0.0027,0.001
0,3,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,3,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,3,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,3,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
2,3,0,-0.9999999999999999,-1.9999999999999991,0.0045,0.0032,0.001
2,3,1,-0.9999999999999847,-1.9999999999999991,0.0045,0.0032,0.001
3,3,0,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
3,3,1,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
4,3,0,-5.379999999999992,-10.759999999999986,0.0003,0.0034,0.001
4,3,1,-5.3799999999999955,-10.759999999999986,0.0003,0.0034,0.001
5,3,0,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
5,3,1,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
6,3,0,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
6,3,1,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
7,3,0,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
7,3,1,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
8,3,0,-0.9999999999999999,-1.9999999999999964,0.0013,0.0078,0.001
8,3,1,-0.9999999999999902,-1.9999999999999964,0.0013,0.0078,0.001
9,3,0,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
9,3,1,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
10,3,0,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
10,3,1,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
11,3,0,-0.9999999999999996,-2.000000000000001,0.0005,0.0042,0.001
11,3,1,-0.9999999999999999,-2.000000000000001,0.0005,0.0042,0.001
12,3,0,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
12,3,1,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
13,3,0,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
13,3,1,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
14,3,0,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
14,3,1,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
15,3,0,-0.9999999999999999,-1.9999999999999991,0.0026,0.0027,0.001
15,3,1,-0.9999999999999847,-1.9999999999999991,0.0026,0.0027,0.001
0,4,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,4,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,4,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,4,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
2,4,0,-0.9999999999999999,-1.9999999999999991,0.0045,0.0032,0.001
2,4,1,-0.9999999999999847,-1.9999999999999991,0.0045,0.0032,0.001
3,4,0,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
3,4,1,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
4,4,0,-5.999999999999987,-6.999999999999957,0.0003,0.0034,0.001
4,4,1,-0.9999999999999831,-6.999999999999957,0.0003,0.0034,0.001
5,4,0,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
5,4,1,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
6,4,0,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
6,4,1,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
7,4,0,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
7,4,1,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
8,4,0,-0.99999999999999,-1.9999999999999984,0.0013,0.0078,0.001
8,4,1,-0.9999999999999999,-1.9999999999999984,0.0013,0.0078,0.001
9,4,0,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
9,4,1,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
10,4,0,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
10,4,1,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
11,4,0,-5.999999999999986,-6.999999999999961,0.0005,0.0042,0.001
11,4,1,-0.9999999999999999,-6.999999999999961,0.0005,0.0042,0.001
12,4,0,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
12,4,1,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
13,4,0,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
13,4,1,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
14,4,0,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
14,4,1,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
15,4,0,-0.9999999999999999,-1.9999999999999991,0.0026,0.0027,0.001
15,4,1,-0.9999999999999847,-1.9999999999999991,0.0026,0.0027,0.001
0,5,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,5,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,5,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,5,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
2,5,0,-0.9999999999999999,-1.9999999999999991,0.0045,0.0032,0.001
2,5,1,-0.9999999999999847,-1.9999999999999991,0.0045,0.0032,0.001
3,5,0,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
3,5,1,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
4,5,0,-5.999999999999991,-6.999999999999972,0.0003,0.0034,0.001
4,5,1,-0.9999999999999892,-6.999999999999972,0.0003,0.0034,0.001
5,5,0,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
5,5,1,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
6,5,0,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
6,5,1,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
7,5,0,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
7,5,1,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
8,5,0,-0.9999999999999847,-1.9999999999999991,0.0013,0.0078,0.001
8,5,1,-0.9999999999999999,-1.9999999999999991,0.0013,0.0078,0.001
9,5,0,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
9,5,1,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
10,5,0,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
10,5,1,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
11,5,0,-5.999999999999991,-6.999999999999961,0.0005,0.0042,0.001
11,5,1,-0.9999999999999999,-6.999999999999961,0.0005,0.0042,0.001
12,5,0,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
12,5,1,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
13,5,0,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
13,5,1,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
14,5,0,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
14,5,1,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
15,5,0,-0.9999999999999999,-1.9999999999999991,0.0026,0.0027,0.001
15,5,1,-0.9999999999999847,-1.9999999999999991,0.0026,0.0027,0.001
0,6,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,6,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,6,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,6,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
2,6,0,-0.9999999999999999,-1.9999999999999991,0.0045,0.0032,0.001
2,6,1,-0.9999999999999847,-1.9999999999999991,0.0045,0.0032,0.001
3,6,0,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
3,6,1,-0.9999999999999999,-2.0000000000000013,0.0082,0.008,0.001
4,6,0,-5.999999999999998,-6.999999999999963,0.0003,0.0034,0.001
4,6,1,-0.9999999999999902,-6.999999999999963,0.0003,0.0034,0.001
5,6,0,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
5,6,1,-0.9999999999999999,-2.0000000000000013,0.0078,0.0097,0.001
6,6,0,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
6,6,1,-0.9999999999999999,-2.0000000000000013,0.0039,0.0019,0.001
7,6,0,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
7,6,1,-0.9999999999999999,-2.0000000000000013,0.0073,0.0012,0.001
8,6,0,-0.9999999999999847,-1.9999999999999993,0.0013,0.0078,0.001
8,6,1,-0.9999999999999999,-1.9999999999999993,0.0013,0.0078,0.001
9,6,0,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
9,6,1,-0.9999999999999999,-2.0000000000000013,0.0044,0.0003,0.001
10,6,0,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
10,6,1,-0.9999999999999999,-2.0000000000000013,0.0086,0.0091,0.001
11,6,0,-0.9999999999999947,-1.999999999999999,0.0005,0.0042,0.001
11,6,1,-0.9999999999999999,-1.999999999999999,0.0005,0.0042,0.001
12,6,0,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
12,6,1,-0.9999999999999847,-1.9999999999999991,0.0073,0.0039,0.001
13,6,0,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
13,6,1,-0.9999999999999999,-2.0000000000000013,0.0047,0.0028,0.001
14,6,0,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
14,6,1,-0.9999999999999999,-2.0000000000000013,0.008,0.0007,0.001
15,6,0,-0.9999999999999999,-1.9999999999999991,0.0026,0.0027,0.001
15,6,1,-0.9999999999999847,-1.9999999999999991,0.0026,0.0027,0.001
0,7,0,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
0,7,1,-0.9999999999999999,-2.0000000000000013,0.0041,0.0012,0.001
1,7,0,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
1,7,1,-0.9999999999999999,-2.0000000000000013,0.006,0.0073,0.001
