Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
1,1,-114.38168492647134,0.00430000014603138,0.002400000113993883,0.99,429
2,1,-206.60891585271548,0.0027000000700354576,0.004600000102072954,0.99,132
3,1,-120.28725208836457,0.0032999999821186066,0.0015999999595806003,0.99,160
4,1,-84.82862056609633,0.003000000026077032,9.999999747378752e-05,0.99,254
5,1,31.954765389530685,0.0024999999441206455,0.004399999976158142,0.99,216
6,1,-156.0951520449696,0.00430000014603138,0.0006000000284984708,0.99,404
7,1,-219.58868346451533,0.003000000026077032,0.0032999999821186066,0.99,127
8,1,-29.107903843144655,0.004600000102072954,0.002199999988079071,0.99,76
9,1,-99.08758691151326,0.004600000102072954,0.0003000000142492354,0.99,394
10,1,-37.9913988401632,0.0015999999595806003,0.00039999998989515007,0.99,471
11,1,-188.95041659410884,0.002400000113993883,9.999999747378752e-05,0.99,423
12,1,-124.66150794445971,0.0026000000070780516,0.002199999988079071,0.99,495
13,1,-325.50727519123996,0.0003000000142492354,0.0005000000237487257,0.99,184
14,1,-293.83261228714343,0.0024999999441206455,0.004000000189989805,0.99,345
15,1,-294.9121418889102,0.0015999999595806003,0.0005000000237487257,0.99,14
16,1,-133.0374263832548,0.0031999999191612005,0.0035000001080334187,0.99,265
1,2,-708.6986641085028,0.00430000014603138,0.002400000113993883,0.99,429
2,2,-726.4676944593397,0.0027000000700354576,0.004600000102072954,0.99,132
3,2,-476.8988720571,0.0032999999821186066,0.0015999999595806003,0.99,160
4,2,-145.15815995335822,0.003000000026077032,9.999999747378752e-05,0.99,254
5,2,-149.17837187508562,0.0024999999441206455,0.004399999976158142,0.99,216
6,2,-544.2679500171587,0.00430000014603138,0.0006000000284984708,0.99,404
7,2,-435.31560942510225,0.003000000026077032,0.0032999999821186066,0.99,127
8,2,-551.0894067469649,0.004600000102072954,0.002199999988079071,0.99,76
9,2,-786.3031968317003,0.004600000102072954,0.0003000000142492354,0.99,394
10,2,-248.76205093910633,0.0015999999595806003,0.00039999998989515007,0.99,471
11,2,-710.1744042089916,0.002400000113993883,9.999999747378752e-05,0.99,423
12,2,-139.18566474890366,0.0026000000070780516,0.002199999988079071,0.99,495
13,2,-223.2721592124423,0.0003000000142492354,0.0005000000237487257,0.99,184
14,2,-314.8431547460609,0.0024999999441206455,0.004000000189989805,0.99,345
15,2,-333.67311437386877,0.0015999999595806003,0.0005000000237487257,0.99,14
16,2,-129.44763795721676,0.0031999999191612005,0.0035000001080334187,0.99,265
1,3,-256.9356940361958,0.00430000014603138,0.002400000113993883,0.99,429
2,3,-602.3451729407319,0.0027000000700354576,0.004600000102072954,0.99,132
3,3,-491.69656186178815,0.0032999999821186066,0.0015999999595806003,0.99,160
4,3,-542.9127982552677,0.003000000026077032,9.999999747378752e-05,0.99,254
5,3,-731.0898621297713,0.0024999999441206455,0.004399999976158142,0.99,216
