Coordinator ID,Episode Number,Episode Reward,Agent ID,Agent Reward, Actor Learning Rate, Critic Learning Rate, Entropy
0,1,-97.22251667497497,adversary_0,-97.22251667497497,0.0007,0.0005,0.0001
0,1,-97.22251667497497,agent_0,23.521139961196187,0.0007,0.0005,0.0001
0,1,-97.22251667497497,agent_1,23.521139961196187,0.0007,0.0005,0.0001
1,1,-152.61091826681363,adversary_0,-152.61091826681363,0.0006,0.0001,0.0001
1,1,-152.61091826681363,agent_0,96.94175349605035,0.0006,0.0001,0.0001
1,1,-152.61091826681363,agent_1,96.94175349605035,0.0006,0.0001,0.0001
2,1,-236.7217454232426,adversary_0,-236.7217454232426,0.0002,0.0002,0.0001
2,1,-236.7217454232426,agent_0,129.29632959345355,0.0002,0.0002,0.0001
2,1,-236.7217454232426,agent_1,129.29632959345355,0.0002,0.0002,0.0001
3,1,-86.38774061181098,adversary_0,-86.38774061181098,0.001,0.0003,0.0001
3,1,-86.38774061181098,agent_0,-50.374558053336436,0.001,0.0003,0.0001
3,1,-86.38774061181098,agent_1,-50.374558053336436,0.001,0.0003,0.0001
4,1,-146.14278221724655,adversary_0,-146.14278221724655,0.0004,0.0002,0.0001
4,1,-146.14278221724655,agent_0,97.17286586847493,0.0004,0.0002,0.0001
4,1,-146.14278221724655,agent_1,97.17286586847493,0.0004,0.0002,0.0001
5,1,-95.46246355817479,adversary_0,-95.46246355817479,0.0009,0.0001,0.0001
5,1,-95.46246355817479,agent_0,-46.21822818695269,0.0009,0.0001,0.0001
5,1,-95.46246355817479,agent_1,-46.21822818695269,0.0009,0.0001,0.0001
6,1,-205.96262495340324,adversary_0,-205.96262495340324,0.001,0.0009,0.0001
6,1,-205.96262495340324,agent_0,165.77105067835294,0.001,0.0009,0.0001
6,1,-205.96262495340324,agent_1,165.77105067835294,0.001,0.0009,0.0001
7,1,-274.04533285847293,adversary_0,-274.04533285847293,0.0,0.0001,0.0001
7,1,-274.04533285847293,agent_0,191.62621438616574,0.0,0.0001,0.0001
7,1,-274.04533285847293,agent_1,191.62621438616574,0.0,0.0001,0.0001
8,1,-113.86923145659479,adversary_0,-113.86923145659479,0.0004,0.0003,0.0001
8,1,-113.86923145659479,agent_0,50.05921716844263,0.0004,0.0003,0.0001
8,1,-113.86923145659479,agent_1,50.05921716844263,0.0004,0.0003,0.0001
9,1,-183.17321781446608,adversary_0,-183.17321781446608,0.0008,0.0007,0.0001
9,1,-183.17321781446608,agent_0,33.838303870143996,0.0008,0.0007,0.0001
9,1,-183.17321781446608,agent_1,33.838303870143996,0.0008,0.0007,0.0001
10,1,-216.55027086924335,adversary_0,-216.55027086924335,0.0004,0.0006,0.0001
10,1,-216.55027086924335,agent_0,157.05677648019713,0.0004,0.0006,0.0001
10,1,-216.55027086924335,agent_1,157.05677648019713,0.0004,0.0006,0.0001
11,1,-62.7164084987548,adversary_0,-62.7164084987548,0.0002,0.0002,0.0001
11,1,-62.7164084987548,agent_0,-27.20294105486559,0.0002,0.0002,0.0001
11,1,-62.7164084987548,agent_1,-27.20294105486559,0.0002,0.0002,0.0001
12,1,-94.8125171356653,adversary_0,-94.8125171356653,0.0001,0.001,0.0001
12,1,-94.8125171356653,agent_0,32.04308685664013,0.0001,0.001,0.0001
12,1,-94.8125171356653,agent_1,32.04308685664013,0.0001,0.001,0.0001
13,1,-148.77352633130036,adversary_0,-148.77352633130036,0.0002,0.0004,0.0001
13,1,-148.77352633130036,agent_0,45.234879316609835,0.0002,0.0004,0.0001
13,1,-148.77352633130036,agent_1,45.234879316609835,0.0002,0.0004,0.0001
14,1,-117.64922092689025,adversary_0,-117.64922092689025,0.0,0.0002,0.0001
14,1,-117.64922092689025,agent_0,-99.39576055122433,0.0,0.0002,0.0001
14,1,-117.64922092689025,agent_1,-99.39576055122433,0.0,0.0002,0.0001
15,1,-205.2555784035431,adversary_0,-205.2555784035431,0.0005,0.0005,0.0001
15,1,-205.2555784035431,agent_0,46.03736305948758,0.0005,0.0005,0.0001
